Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.64126E-4,37.751681906,0.671376532,0.205217391,0.409901784,0.411131899
1.64542E-4,38.014656954,0.672301908,0.204147157,0.413108839,0.415341441
1.65062E-4,38.261828353,0.673454818,0.203143813,0.415915013,0.419083255
1.65379E-4,38.509668783,0.674156022,0.202140468,0.418721187,0.422357343
1.65622E-4,38.757999161,0.674693655,0.201137124,0.421727801,0.424228251
1.65902E-4,39.006676846,0.675309064,0.200133779,0.424533975,0.426566885
1.6634E-4,39.254059634,0.676273096,0.199130435,0.427540589,0.428905519
1.66518E-4,39.505570263,0.676663403,0.19812709,0.430547204,0.430776427
1.66912E-4,39.755608011,0.677525794,0.197123746,0.433553818,0.434985968
1.67178E-4,40.006187669,0.678106007,0.196120401,0.436560433,0.437324602
1.6763E-4,40.255287327,0.679091477,0.195117057,0.439166166,0.441066417
1.6787E-4,40.508944828,0.679613329,0.194113712,0.44217278,0.443872778
1.68145E-4,40.761008612,0.68021158,0.193110368,0.444978954,0.446679139
1.68503E-4,41.013484102,0.680985366,0.192107023,0.447785127,0.450420954
1.68756E-4,41.266400354,0.68153187,0.191103679,0.450791742,0.453695042
1.6905E-4,41.502910353,0.682166825,0.190167224,0.453397474,0.456501403
1.69704E-4,41.757038694,0.683572651,0.18916388,0.456003207,0.463517306
1.70026E-4,42.011827462,0.684262741,0.188160535,0.45860894,0.466791394
1.70392E-4,42.250087883,0.685046314,0.18722408,0.461415113,0.469597755
1.70824E-4,42.505970012,0.685966716,0.186220736,0.464221287,0.471000935
1.71136E-4,42.7504597,0.686631808,0.185217391,0.467227901,0.472871843
1.71379E-4,43.002219408,0.687146858,0.184280936,0.469833634,0.476145931
1.71556E-4,43.259447516,0.687521646,0.183277592,0.472639808,0.477549111
1.71919E-4,43.504995002,0.688290342,0.182274247,0.475445981,0.480355472
1.72262E-4,43.758116086,0.689014679,0.181337793,0.478252155,0.482694107
1.72761E-4,44.016816472,0.690064312,0.180334448,0.480857887,0.488774556
1.73065E-4,44.258934698,0.690702665,0.179397993,0.483664061,0.490177736
1.7333E-4,44.501421854,0.691258374,0.178461538,0.486269794,0.494855005
1.73604E-4,44.761660083,0.69183198,0.177458194,0.489276408,0.497661366
1.73936E-4,45.004997643,0.692523421,0.176521739,0.491882141,0.501403181
1.74259E-4,45.251021835,0.693197609,0.175518395,0.494888755,0.505144995
1.74588E-4,45.510425641,0.693880824,0.17458194,0.497694929,0.509354537
1.74931E-4,45.755093502,0.694592182,0.173645485,0.50010022,0.512628625
1.75246E-4,46.000206363,0.695243106,0.17270903,0.502906394,0.514967259
1.75612E-4,46.262102602,0.695997354,0.171705686,0.505913009,0.518241347
1.75834E-4,46.509378803,0.696456553,0.170769231,0.508518741,0.519644528
1.76168E-4,46.755804978,0.697142609,0.169832776,0.511324915,0.524321796
1.76294E-4,47.002529658,0.697401094,0.168896321,0.514131088,0.525724977
1.76573E-4,47.267248317,0.697972482,0.167892977,0.517137703,0.528531338
1.76845E-4,47.514638845,0.698528856,0.166956522,0.519943877,0.529934518
1.77125E-4,47.76242919,0.699101331,0.166020067,0.52275005,0.532273152
1.77511E-4,48.010737536,0.699886996,0.165083612,0.525355783,0.533208606
1.77793E-4,48.25944849,0.700461208,0.164147157,0.528161956,0.535079514
1.78092E-4,48.508557416,0.70106691,0.163210702,0.530767689,0.538353601
1.783E-4,48.758042181,0.701489478,0.162274247,0.533573862,0.539756782
1.78627E-4,49.007931278,0.702150837,0.161337793,0.536380036,0.541159963
1.79068E-4,49.258328255,0.703040233,0.160401338,0.538985769,0.544434051
1.79494E-4,49.509357466,0.703896063,0.159464883,0.541791942,0.548175865
1.79646E-4,49.760762625,0.704200503,0.158528428,0.544397675,0.5505145
1.80068E-4,50.001674985,0.705045475,0.157591973,0.547003407,0.556127222
1.80353E-4,50.264940885,0.705614843,0.156655518,0.549809581,0.557062675
1.80805E-4,50.517720573,0.706516722,0.155719064,0.552415314,0.56080449
1.81052E-4,50.75291899,0.707007517,0.154849498,0.554820605,0.562207671
1.81278E-4,51.002479425,0.707455749,0.153913043,0.557626779,0.565014032
1.81552E-4,51.260571189,0.707999665,0.152976589,0.560432952,0.567352666
1.81793E-4,51.514925378,0.708476523,0.152040134,0.563239126,0.56828812
1.82055E-4,51.751439814,0.708993126,0.151170569,0.565644418,0.571094481
1.82533E-4,52.006603535,0.709934916,0.150234114,0.568450591,0.575304022
1.82816E-4,52.262406468,0.71049121,0.149297659,0.571056324,0.579045837
1.83023E-4,52.500187714,0.710896392,0.148428094,0.573461616,0.579981291
1.83434E-4,52.756740421,0.71170163,0.147491639,0.576067348,0.583255379
1.83757E-4,53.013764642,0.712331487,0.146555184,0.578272199,0.585126286
1.84115E-4,53.252861174,0.713029739,0.145685619,0.580877931,0.588868101
1.84375E-4,53.510806655,0.71353557,0.144749164,0.583483664,0.591206735
1.84647E-4,53.750689653,0.714063168,0.143879599,0.586089397,0.592142189
1.84933E-4,54.009407392,0.714616739,0.142943144,0.58889557,0.59494855
1.85157E-4,54.268500761,0.715049406,0.142006689,0.591501303,0.596351731
1.85425E-4,54.509432994,0.715566799,0.141137124,0.594107035,0.597287184
1.85836E-4,54.750855753,0.71635886,0.140267559,0.596512327,0.600561272
1.86194E-4,55.011305069,0.717045783,0.139331104,0.599318501,0.602899906
1.86321E-4,55.253421915,0.717289661,0.138461538,0.601924233,0.60383536
1.86611E-4,55.514530787,0.717846171,0.137525084,0.604529966,0.605238541
1.86822E-4,55.75726621,0.71824923,0.136655518,0.607135699,0.606173994
1.87084E-4,56.000284797,0.718748196,0.135785953,0.609741431,0.61131899
1.87414E-4,56.262452802,0.719376855,0.134849498,0.612347164,0.612254443
1.87618E-4,56.506252451,0.71976612,0.133979933,0.614752455,0.614593078
1.87943E-4,56.750381074,0.720382268,0.133110368,0.617157747,0.618334892
1.88221E-4,57.013743384,0.720908386,0.132173913,0.619963921,0.62160898
1.88536E-4,57.258627679,0.721503655,0.131304348,0.622569653,0.625818522
1.88681E-4,57.503813135,0.721778663,0.130434783,0.624974945,0.627221703
1.89032E-4,57.768237713,0.722438448,0.129498328,0.627380237,0.629560337
1.8925E-4,58.014155038,0.722849014,0.128628763,0.629985969,0.630963517
1.8948E-4,58.260349502,0.723280777,0.127759197,0.632591702,0.632366698
1.89697E-4,58.506847031,0.723688303,0.126889632,0.635197434,0.635173059
1.89973E-4,58.753719753,0.724204631,0.126020067,0.637201844,0.637511693
1.90302E-4,59.000953767,0.724819818,0.125150502,0.639807577,0.642656688
1.90557E-4,59.265461046,0.72529367,0.124214047,0.642413309,0.646398503
1.90824E-4,59.507774362,0.725791396,0.123344482,0.644818601,0.648737138
1.91022E-4,59.763726596,0.726160118,0.122474916,0.647424334,0.652011225
1.91221E-4,60.012193283,0.726529336,0.121605351,0.650030066,0.653882133
1.91542E-4,60.250796806,0.727123749,0.120735786,0.652635799,0.659027128
1.91767E-4,60.510210173,0.727539202,0.119866221,0.654840649,0.662768943
1.92065E-4,60.759746732,0.72808971,0.118996656,0.657446382,0.66463985
1.92255E-4,61.009565658,0.728439633,0.11812709,0.660052115,0.666043031
1.92612E-4,61.259731955,0.729096429,0.117257525,0.662657847,0.670720299
1.92883E-4,61.510329316,0.729592553,0.11638796,0.665063139,0.673058934
1.93115E-4,61.761269451,0.730018849,0.115518395,0.667668872,0.674929841
1.9337E-4,62.012486646,0.730483593,0.114648829,0.670274604,0.677736202
1.93554E-4,62.264030359,0.730820598,0.113779264,0.672880337,0.680542563
1.93816E-4,62.515858453,0.731297597,0.112909699,0.675085187,0.681478017
1.94076E-4,62.768007098,0.731772244,0.112040134,0.67769092,0.685219832
1.94411E-4,63.001091064,0.732379173,0.111237458,0.680096212,0.6898971
1.94749E-4,63.254064064,0.732993087,0.110367893,0.682701944,0.692235734
1.95046E-4,63.507473513,0.733529214,0.109498328,0.685307677,0.695977549
1.95341E-4,63.761225009,0.734062358,0.108628763,0.68791341,0.698316183
1.95553E-4,64.01532948,0.734444686,0.107759197,0.690519142,0.699719364
1.95978E-4,64.250346587,0.735208537,0.106956522,0.692924434,0.702525725
1.96269E-4,64.505278604,0.735730604,0.106086957,0.695129284,0.70626754
1.96512E-4,64.750200645,0.736164728,0.105217391,0.697534576,0.708606174
1.96754E-4,65.016288103,0.736598011,0.104347826,0.699939868,0.711412535
1.97075E-4,65.252577934,0.737170252,0.103545151,0.702345159,0.714686623
1.97374E-4,65.508964491,0.737702926,0.102675585,0.704750451,0.715622077
1.97712E-4,65.765840167,0.738302506,0.10180602,0.707356184,0.718896165
1.97999E-4,66.002850944,0.738811585,0.101003344,0.709761475,0.721702526
1.98209E-4,66.260814619,0.739183614,0.100133779,0.712166767,0.723573433
1.98484E-4,66.518692808,0.739669989,0.099264214,0.714572059,0.724976614
1.98783E-4,66.757058419,0.74019772,0.098461538,0.71697735,0.727782975
1.99012E-4,67.011926523,0.740599659,0.097591973,0.719382642,0.730589336
1.99248E-4,67.254583866,0.741014067,0.096789298,0.721787933,0.732460243
1.99445E-4,67.513742248,0.741360852,0.095919732,0.724193225,0.733863424
1.99729E-4,67.753225515,0.741857669,0.095117057,0.726598517,0.734331151
1.99987E-4,68.013017317,0.742308429,0.094247492,0.729204249,0.735266604
2.00253E-4,68.253178848,0.74277303,0.093444816,0.731609541,0.739476146
2.00628E-4,68.503019644,0.743426451,0.092575251,0.734215274,0.740879326
2.00896E-4,68.754712689,0.743892965,0.091772575,0.736620565,0.743217961
2.01178E-4,69.016081054,0.744381882,0.09090301,0.739226298,0.745556595
2.01556E-4,69.257718034,0.745035696,0.090100334,0.741230708,0.748362956
2.01781E-4,69.519917565,0.745424886,0.089230769,0.743435558,0.75070159
2.02123E-4,69.762264596,0.746015232,0.088428094,0.74584085,0.752104771
2.02317E-4,70.004946042,0.746347737,0.087625418,0.748045701,0.753040225
2.02769E-4,70.268299769,0.747124903,0.086755853,0.750651433,0.757717493
2.03046E-4,70.51180964,0.747598987,0.085953177,0.753056725,0.760523854
2.03355E-4,70.75565882,0.748126916,0.085150502,0.755462016,0.764265669
2.03732E-4,71.018629775,0.748770278,0.084280936,0.758067749,0.765668849
2.04023E-4,71.264955047,0.749266294,0.083478261,0.760473041,0.76707203
2.04267E-4,71.50994552,0.749679179,0.082675585,0.76247745,0.76847521
2.04685E-4,71.755349035,0.750388961,0.08187291,0.764682301,0.770813845
2.04932E-4,72.001114327,0.750805268,0.081070234,0.767087593,0.772217025
2.05452E-4,72.26789613,0.751682486,0.080200669,0.769492884,0.776426567
2.05698E-4,72.506801556,0.752096797,0.079397993,0.771697735,0.777362021
2.05959E-4,72.757305221,0.752535988,0.078595318,0.774103027,0.780168382
2.06174E-4,73.003863485,0.752895139,0.077792642,0.776508318,0.781103835
