X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1176.0,1176.0,train,2.571794111234619E-4,95.51268312337034,0.8251423645335444
1177.0,1177.0,train,1.8814029913513295E-4,56.93729170705617,0.7207559963522552
1179.0,1179.0,train,1.987721684302179E-4,66.74842338973846,0.7401778189074841
1180.0,1180.0,train,2.5983085109830946E-4,96.0041708529383,0.8282578425045046
1181.0,1181.0,train,1.685719584390522E-4,41.08241971444606,0.6811351209940495
1183.0,1183.0,train,4.4893925621633186E-5,6.0016251066942985,0.26243381217679396
1188.0,1188.0,train,2.0146794149441085E-4,69.20142652248181,0.7448838279896259
1190.0,1190.0,train,2.976658028891593E-4,99.24588678324096,0.8671185215449393
1191.0,1191.0,train,1.730887237649136E-4,44.280643031145324,0.6907525106556442
1192.0,1192.0,train,1.4971291398321296E-4,28.209994229457674,0.6376394955299366
1196.0,1196.0,train,1.966249469644157E-4,64.87438977991813,0.736367383213167
1198.0,1198.0,train,2.2652818399253948E-4,85.99090544380316,0.7847499936674217
1199.0,1199.0,train,1.60623857530924E-4,35.37017470708197,0.6634795704185462
1200.0,1200.0,train,2.787827206188019E-5,3.586748958939625,0.17223522675545577
1201.0,1201.0,train,2.461763454894696E-4,93.24937124110635,0.8115980932283694
1202.0,1202.0,train,9.546152395388623E-5,13.600959320632832,0.4765264383381861
1203.0,1203.0,train,7.046569352156466E-5,9.825576495521497,0.37984550612938783
1205.0,1205.0,train,1.765520775125756E-4,47.2473968015379,0.6979299582340862
1206.0,1206.0,train,1.9977839114772856E-5,2.6317193789820834,0.12668419424880928
1209.0,1209.0,train,1.9270105818356228E-4,61.34208526044709,0.7292591404955697
1210.0,1210.0,train,1.256131890782844E-4,19.83226275842999,0.5733151339072557
1216.0,1216.0,train,2.139420829878866E-4,78.7657368556939,0.7655741902951148
1219.0,1219.0,train,1.1805133425173111E-4,18.106989830051976,0.5508673688428987
1220.0,1220.0,train,1.5617474114422596E-4,32.16781669278614,0.6531731323669416
1222.0,1222.0,train,1.6147872720580445E-4,35.91311556046143,0.6654245254594942
1223.0,1223.0,train,1.113131757412976E-4,16.507778158097363,0.5298716475333248
1225.0,1225.0,train,1.9397917837685598E-4,62.67410924768282,0.7315952935863665
1227.0,1227.0,train,1.5589633667701552E-4,31.939638170722706,0.6525178097079996
1229.0,1229.0,train,2.2875638230825243E-4,87.09887611792445,0.787977571613883
1230.0,1230.0,train,2.124111375025525E-4,77.7572978693476,0.7631280719492383
1231.0,1231.0,train,1.9648199385514567E-4,64.71995716252978,0.736111725135707
1232.0,1232.0,train,1.2152229416820136E-4,18.839467035042272,0.5613140910574523
1233.0,1233.0,train,1.5730498148903326E-4,32.8919686414409,0.6558208811259228
1235.0,1235.0,train,1.9718688182102513E-4,65.34851437173754,0.7373699522549757
1236.0,1236.0,train,1.6042899029470003E-4,35.23216419952738,0.6630346385812037
1238.0,1238.0,train,1.8768167710622518E-4,56.554084464105784,0.7198862943449852
1239.0,1239.0,train,2.181380036059428E-4,81.58063008173983,0.7721496444810996
1240.0,1240.0,train,2.036817898918131E-4,70.98360643255819,0.7486847299445862
1242.0,1242.0,train,1.0429490265397858E-4,15.183518815266726,0.5069588928602806
1244.0,1244.0,train,1.1531276891745836E-4,17.517190837585957,0.5424496899273552
1245.0,1245.0,train,2.2261061248547327E-4,83.74731735565524,0.7789557443006171
1246.0,1246.0,train,1.575635627135565E-4,33.04386667670315,0.6564237975557745
1247.0,1247.0,train,2.0117804951026204E-4,69.01611270349788,0.7443818815626548
1249.0,1249.0,train,9.635504418585659E-5,13.763682960582221,0.47968828287661214
1250.0,1250.0,train,1.904375004034948E-4,59.14150609261495,0.7250717961632972
1251.0,1251.0,train,1.7118514995432098E-4,42.80138142077392,0.6867351768371515
1252.0,1252.0,train,2.8866574429631486E-4,98.72119981845998,0.858757012305982
1253.0,1253.0,train,1.712336290110618E-4,42.851608059330225,0.6868381326078519
1254.0,1254.0,train,1.7969336078232614E-4,49.78780006064369,0.70429577569767
1258.0,1258.0,train,2.694796871120255E-4,97.39497739384387,0.8391340909552149
1261.0,1261.0,train,2.2697290667582557E-4,86.25899412381169,0.785398081862406
1266.0,1266.0,train,2.108858266995976E-4,76.80644533493677,0.7606655736207172
1267.0,1267.0,train,1.840212492505403E-4,53.190248103977055,0.7128470982929069
1268.0,1268.0,train,2.0902175210694762E-4,75.11261742291494,0.7576213805242628
1269.0,1269.0,train,1.601747481721134E-4,35.06959984707313,0.6624532541058301
1270.0,1270.0,train,1.4978575997800697E-4,28.260090781650106,0.6378184306390524
1271.0,1271.0,train,1.7309750731363873E-4,44.28868038114511,0.6907709276834406
1272.0,1272.0,train,7.775140993516861E-5,10.89076575951713,0.4097368529026486
1274.0,1274.0,train,1.1069390513893382E-4,16.397804566968794,0.5278934698999072
1276.0,1276.0,train,1.8249005633232376E-4,51.98367954747353,0.7098503118199085
1277.0,1277.0,train,2.524409295514628E-4,94.77377120769447,0.8194331619834387
